iso3,year,age,sex,val
AFG,2014,15,Female,3017.721
AFG,2014,20,Male,6131.053
AFG,2014,20,Female,3249.697
AFG,2014,25,Male,4822.43
AFG,2014,25,Female,3228.973
AFG,2014,30,Male,4350.731
AFG,2014,30,Female,3449.434
AFG,2014,35,Male,4312.79
AFG,2014,35,Female,3878.57
AFG,2014,40,Male,4508.817
AFG,2014,40,Female,4374.684
AFG,2014,45,Male,4963.787
AFG,2014,45,Female,4999.91
AFG,2014,50,Male,5816.536
AFG,2014,50,Female,5815.121
AFG,2014,55,Male,6451.104
AFG,2014,55,Female,6731.394
AFG,2014,60,Male,7320.663
AFG,2014,60,Female,7584.361
AFG,2014,65,Male,7431.535
AFG,2014,65,Female,8460.907
AFG,2014,70,Male,6682.511
AFG,2014,70,Female,7412.985
AFG,2014,75,Male,5176.054
AFG,2014,75,Female,6479.54
AFG,2014,80,Male,3412.344
AFG,2014,80,Female,4511.647
AFG,2014,85,Male,2501.694
AFG,2014,85,Female,3376.809
AFG,2015,0,Male,44811.93
AFG,2015,0,Female,38166.31
AFG,2015,5,Male,1802.58
AFG,2015,5,Female,1691.862
AFG,2015,10,Male,1246.344
AFG,2015,10,Female,1100.535
AFG,2015,15,Male,5697.381
AFG,2015,15,Female,3307.599
AFG,2015,20,Male,7459.286
AFG,2015,20,Female,3501.212
AFG,2015,25,Male,5513.868
AFG,2015,25,Female,3329.942
AFG,2015,30,Male,4841.516
AFG,2015,30,Female,3536.885
AFG,2015,35,Male,4764.426
AFG,2015,35,Female,4012.748
AFG,2015,40,Male,4817.331
AFG,2015,40,Female,4511.948
AFG,2015,45,Male,5178.558
AFG,2015,45,Female,5157.278
AFG,2015,50,Male,6031.978
AFG,2015,50,Female,5994.946
AFG,2015,55,Male,6673.436
AFG,2015,55,Female,6953.957
AFG,2015,60,Male,7520.189
AFG,2015,60,Female,7710.84
AFG,2015,65,Male,7689.491
AFG,2015,65,Female,8797.058
AFG,2015,70,Male,6945.849
AFG,2015,70,Female,7874.44
AFG,2015,75,Male,5355.687
AFG,2015,75,Female,6745.291
AFG,2015,80,Male,3442.709
AFG,2015,80,Female,4648.012
AFG,2015,85,Male,2327.471
AFG,2015,85,Female,3251.427
AFG,2016,0,Male,43172.15
AFG,2016,0,Female,36633.61
AFG,2016,5,Male,1620.257
AFG,2016,5,Female,1513.84
AFG,2016,10,Male,1146.557
AFG,2016,10,Female,1010.816
AFG,2016,15,Male,6142.694
AFG,2016,15,Female,3470.688
AFG,2016,20,Male,8406.377
AFG,2016,20,Female,3687.35
AFG,2016,25,Male,5904.382
AFG,2016,25,Female,3406.026
AFG,2016,30,Male,5148.121
AFG,2016,30,Female,3597.25
AFG,2016,35,Male,5020.212
AFG,2016,35,Female,4134.593
AFG,2016,40,Male,5088.147
AFG,2016,40,Female,4650.846
AFG,2016,45,Male,5345.735
AFG,2016,45,Female,5311.006
AFG,2016,50,Male,6194.417
AFG,2016,50,Female,6175.581
AFG,2016,55,Male,6859.966
AFG,2016,55,Female,7167.408
AFG,2016,60,Male,7690.093
AFG,2016,60,Female,7875.148
AFG,2016,65,Male,7873.995
AFG,2016,65,Female,8959.167
AFG,2016,70,Male,7186.982
AFG,2016,70,Female,8391.689
AFG,2016,75,Male,5588.449
AFG,2016,75,Female,7006.906
AFG,2016,80,Male,3648.016
AFG,2016,80,Female,4942.877
AFG,2016,85,Male,2611.577
AFG,2016,85,Female,3654.508
AFG,2017,0,Male,41743.71
AFG,2017,0,Female,35165.96
AFG,2017,5,Male,1491.487
AFG,2017,5,Female,1377.674
AFG,2017,10,Male,1088.595
AFG,2017,10,Female,952.5225
AFG,2017,15,Male,5243.571
AFG,2017,15,Female,3099.076
AFG,2017,20,Male,7241.215
AFG,2017,20,Female,3501.094
AFG,2017,25,Male,5271.681
AFG,2017,25,Female,3333.42
AFG,2017,30,Male,4664.556
AFG,2017,30,Female,3477.853
AFG,2017,35,Male,4651.561
AFG,2017,35,Female,4112.838
AFG,2017,40,Male,5007.703
AFG,2017,40,Female,4686.931
AFG,2017,45,Male,5321.283
AFG,2017,45,Female,5384.342
AFG,2017,50,Male,6217.545
AFG,2017,50,Female,6295.362
AFG,2017,55,Male,6957.416
AFG,2017,55,Female,7328.701
AFG,2017,60,Male,7806.277
AFG,2017,60,Female,8055.736
AFG,2017,65,Male,7992.101
AFG,2017,65,Female,8986.461
AFG,2017,70,Male,7384.033
AFG,2017,70,Female,8971.993
AFG,2017,75,Male,5786.58
AFG,2017,75,Female,7223.872
AFG,2017,80,Male,3806.681
AFG,2017,80,Female,5207.64
AFG,2017,85,Male,2818.442
AFG,2017,85,Female,3972.837
AFG,2018,0,Male,40240.93
AFG,2018,0,Female,33841.93
AFG,2018,5,Male,1383.898
AFG,2018,5,Female,1275.215
AFG,2018,10,Male,1055.531
AFG,2018,10,Female,923.1713
AFG,2018,15,Male,3392.264
AFG,2018,15,Female,2638.322
AFG,2018,20,Male,4250.207
AFG,2018,20,Female,3308.506
AFG,2018,25,Male,3893.246
AFG,2018,25,Female,3449.176
AFG,2018,30,Male,3811.14
AFG,2018,30,Female,3618.719
AFG,2018,35,Male,4183.236
AFG,2018,35,Female,4461.284
AFG,2018,40,Male,5016.319
AFG,2018,40,Female,5208.621
AFG,2018,45,Male,5690.015
AFG,2018,45,Female,6054.985
AFG,2018,50,Male,6816.308
AFG,2018,50,Female,7122.955
AFG,2018,55,Male,7778.333
AFG,2018,55,Female,8300.278
AFG,2018,60,Male,8757.797
AFG,2018,60,Female,9149.278
AFG,2018,65,Male,9012.688
AFG,2018,65,Female,9928.127
AFG,2018,70,Male,8400.522
AFG,2018,70,Female,10530.39
AFG,2018,75,Male,6616.473
AFG,2018,75,Female,8120.621
AFG,2018,80,Male,4323.682
AFG,2018,80,Female,5825.084
AFG,2018,85,Male,3139.523
AFG,2018,85,Female,4345.813
AFG,2019,0,Male,38887.68
AFG,2019,0,Female,32673.07
AFG,2019,5,Male,1296.965
AFG,2019,5,Female,1195.375
AFG,2019,10,Male,1010.843
AFG,2019,10,Female,880.3675
AFG,2019,15,Male,3384.078
AFG,2019,15,Female,2594.47
AFG,2019,20,Male,4326.3
AFG,2019,20,Female,3303.329
AFG,2019,25,Male,3954.72
AFG,2019,25,Female,3465.374
AFG,2019,30,Male,3849.466
AFG,2019,30,Female,3587.669
AFG,2019,35,Male,4217.305
AFG,2019,35,Female,4471.862
AFG,2019,40,Male,5082.076
AFG,2019,40,Female,5244.786
AFG,2019,45,Male,5738.316
AFG,2019,45,Female,6102.633
AFG,2019,50,Male,6839.522
AFG,2019,50,Female,7201.385
AFG,2019,55,Male,7833.414
AFG,2019,55,Female,8386.831
AFG,2019,60,Male,8814.814
AFG,2019,60,Female,9273.249
AFG,2019,65,Male,9045.699
AFG,2019,65,Female,9877.891
AFG,2019,70,Male,8510.477
AFG,2019,70,Female,10896.98
AFG,2019,75,Male,6720.447
AFG,2019,75,Female,8380.251
AFG,2019,80,Male,4355.689
AFG,2019,80,Female,5959.722
AFG,2019,85,Male,3080.611
AFG,2019,85,Female,4366.246
AGO,2000,0,Male,80875.65
AGO,2000,0,Female,70993.14
AGO,2000,5,Male,8039.4
AGO,2000,5,Female,7663.95
AGO,2000,10,Male,3175.488
AGO,2000,10,Female,2361.957
AGO,2000,15,Male,2594.444
AGO,2000,15,Female,1783.198
AGO,2000,20,Male,2878.529
AGO,2000,20,Female,2153.818
AGO,2000,25,Male,2558.986
AGO,2000,25,Female,2449.012
AGO,2000,30,Male,2352.319
AGO,2000,30,Female,2225.034
AGO,2000,35,Male,2987.095
AGO,2000,35,Female,2348.929
AGO,2000,40,Male,3366.814
AGO,2000,40,Female,2304.274
AGO,2000,45,Male,3520.152
AGO,2000,45,Female,2129.372
AGO,2000,50,Male,4476.667
AGO,2000,50,Female,2735.056
AGO,2000,55,Male,4777.479
AGO,2000,55,Female,3056.04
AGO,2000,60,Male,5310.744
AGO,2000,60,Female,4081.314
AGO,2000,65,Male,5485.126
AGO,2000,65,Female,4172.045
AGO,2000,70,Male,4946.902
AGO,2000,70,Female,4213.368
AGO,2000,75,Male,3339.266
AGO,2000,75,Female,2902.755
AGO,2000,80,Male,2033.131
AGO,2000,80,Female,2082.927
AGO,2000,85,Male,1047.312
AGO,2000,85,Female,1194.834
AGO,2001,0,Male,80691.25
AGO,2001,0,Female,70889.49
AGO,2001,5,Male,8019.826
AGO,2001,5,Female,7659.157
AGO,2001,10,Male,3213.329
AGO,2001,10,Female,2375.012
AGO,2001,15,Male,2573.454
AGO,2001,15,Female,1773.776
AGO,2001,20,Male,2846.121
AGO,2001,20,Female,2166.405
AGO,2001,25,Male,2576.106
AGO,2001,25,Female,2512.266
AGO,2001,30,Male,2393.484
AGO,2001,30,Female,2321.987
AGO,2001,35,Male,2974.774
AGO,2001,35,Female,2376.117
AGO,2001,40,Male,3493.658
AGO,2001,40,Female,2391.647
AGO,2001,45,Male,3572.289
AGO,2001,45,Female,2190.672
AGO,2001,50,Male,4434.891
AGO,2001,50,Female,2677.995
AGO,2001,55,Male,4788.478
AGO,2001,55,Female,3002.745
AGO,2001,60,Male,5247.346
AGO,2001,60,Female,3951.98
AGO,2001,65,Male,5431.753
AGO,2001,65,Female,4194.674
AGO,2001,70,Male,5022.006
AGO,2001,70,Female,4265.887
AGO,2001,75,Male,3476.961
AGO,2001,75,Female,3064.134
AGO,2001,80,Male,2111.555
AGO,2001,80,Female,2107.423
AGO,2001,85,Male,1186.65
AGO,2001,85,Female,1364.03
AGO,2002,0,Male,80293.94
AGO,2002,0,Female,70509.69
AGO,2002,5,Male,7963.575
AGO,2002,5,Female,7605.889
AGO,2002,10,Male,3219.819
AGO,2002,10,Female,2398.701
AGO,2002,15,Male,2254.791
AGO,2002,15,Female,1693.469
AGO,2002,20,Male,2382.55
AGO,2002,20,Female,2154.717
AGO,2002,25,Male,2266.421
AGO,2002,25,Female,2569.494
AGO,2002,30,Male,2257.959
AGO,2002,30,Female,2466.154
AGO,2002,35,Male,2743.164
AGO,2002,35,Female,2418.196
AGO,2002,40,Male,3476.486
AGO,2002,40,Female,2516.936
AGO,2002,45,Male,3513.825
AGO,2002,45,Female,2333.774
AGO,2002,50,Male,4221.665
AGO,2002,50,Female,2657.906
AGO,2002,55,Male,4671.483
AGO,2002,55,Female,3061.504
AGO,2002,60,Male,5049.905
AGO,2002,60,Female,3860.537
