iso3,year,month,observed
CHE,2015,11,5253.42857142857
CHE,2015,12,5993.57142857143
CHE,2016,1,5449.14285714286
CHE,2016,2,5563
CHE,2016,3,5776.28571428572
CHE,2016,4,5142.57142857143
CHE,2016,5,5216.85714285714
CHE,2016,6,4948.28571428571
CHE,2016,7,5165.85714285714
CHE,2016,8,5050.71428571429
CHE,2016,9,4993.14285714286
CHE,2016,10,5612.28571428572
CHE,2016,11,5530.42857142857
CHE,2016,12,6200.42857142857
CHE,2017,1,7482.28571428571
CHE,2017,2,5868.57142857143
CHE,2017,3,5660.14285714286
CHE,2017,4,5180.85714285714
CHE,2017,5,5277.57142857143
CHE,2017,6,4906
CHE,2017,7,5026.42857142857
CHE,2017,8,5122.57142857143
CHE,2017,9,5183.57142857143
CHE,2017,10,5481.14285714286
CHE,2017,11,5537
CHE,2017,12,5976.85714285714
CHE,2018,1,6791.28571428572
CHE,2018,2,5910.57142857143
CHE,2018,3,6443.14285714286
CHE,2018,4,5365.28571428572
CHE,2018,5,5243.57142857143
CHE,2018,6,4936.14285714286
CHE,2018,7,5216.71428571429
CHE,2018,8,5310
CHE,2018,9,5144.28571428571
CHE,2018,10,5453.85714285714
CHE,2018,11,5468.42857142857
CHE,2018,12,5604.71428571429
CHE,2019,1,6518.85714285714
CHE,2019,2,6064.85714285714
CHE,2019,3,6137.71428571429
CHE,2019,4,5485.85714285714
CHE,2019,5,5539.85714285714
CHE,2019,6,5232.57142857143
CHE,2019,7,5420.14285714286
CHE,2019,8,5167.14285714286
CHE,2019,9,5309.57142857143
CHE,2019,10,5638.71428571429
CHE,2019,11,5684.71428571429
CHE,2019,12,5315
CHE,2020,1,6737.28571428571
CHE,2020,2,5701.71428571429
CHE,2020,3,6718.28571428572
CHE,2020,4,6566.57142857143
CHE,2020,5,5153.42857142857
CHE,2020,6,4990.42857142857
CHE,2020,7,5215.42857142857
CHE,2020,8,5310.28571428571
CHE,2020,9,5300.85714285714
CHE,2020,10,6341.71428571429
CHE,2020,11,9119.57142857143
CHE,2020,12,10066.4285714286
CHE,2021,1,7275.57142857143
CHE,2021,2,5437.42857142857
CHE,2021,3,5595.85714285714
CHE,2021,4,5389.85714285714
CHE,2021,5,5408
CHE,2021,6,5052.28571428571
CHE,2021,7,5251
CHE,2021,8,5557
CHE,2021,9,5701.85714285714
CHE,2021,10,5839.57142857143
CHE,2021,11,6404.28571428571
CHE,2021,12,7714.28571428571
CHL,2016,1,7795.14285714286
CHL,2016,2,7431.57142857143
CHL,2016,3,7791.28571428571
CHL,2016,4,8143
CHL,2016,5,8710.14285714286
CHL,2016,6,9526.28571428571
CHL,2016,7,10688.4285714286
CHL,2016,8,9669.71428571429
CHL,2016,9,9252.42857142857
CHL,2016,10,8545.28571428572
CHL,2016,11,7896.85714285714
CHL,2016,12,7924.85714285714
CHL,2017,1,8672.42857142857
CHL,2017,2,7392
CHL,2017,3,7794.42857142857
CHL,2017,4,8198.71428571429
CHL,2017,5,9173.14285714286
CHL,2017,6,10819.5714285714
CHL,2017,7,10467.7142857143
CHL,2017,8,9660.85714285714
CHL,2017,9,9260.14285714286
CHL,2017,10,8697.85714285714
CHL,2017,11,8111
CHL,2017,12,7797.14285714286
CHL,2018,1,8412.85714285714
CHL,2018,2,7341.42857142857
CHL,2018,3,8202.71428571429
CHL,2018,4,8243.57142857143
CHL,2018,5,8903.85714285714
CHL,2018,6,10011.5714285714
CHL,2018,7,10517.4285714286
CHL,2018,8,10445.4285714286
CHL,2018,9,9246.14285714286
CHL,2018,10,8890.57142857143
CHL,2018,11,8377.57142857143
CHL,2018,12,7864.85714285714
CHL,2019,1,9002.71428571429
CHL,2019,2,7719.28571428571
CHL,2019,3,8198.85714285714
CHL,2019,4,8563
CHL,2019,5,9797.85714285714
CHL,2019,6,10421.4285714286
CHL,2019,7,10583.5714285714
CHL,2019,8,9984.28571428571
CHL,2019,9,9503
CHL,2019,10,9215.71428571429
CHL,2019,11,8615.28571428571
CHL,2019,12,7743
CHL,2020,1,9870.57142857143
CHL,2020,2,7967.42857142857
CHL,2020,3,8718.85714285714
CHL,2020,4,8869
CHL,2020,5,12259.1428571429
CHL,2020,6,15891.7142857143
CHL,2020,7,12507.2857142857
CHL,2020,8,11085.2857142857
CHL,2020,9,10217.8571428571
CHL,2020,10,10277.8571428571
CHL,2020,11,9368.14285714286
CHL,2020,12,10424.8571428571
CHL,2021,1,10526.4285714286
CHL,2021,2,10253.8571428571
CHL,2021,3,11847.5714285714
CHL,2021,4,12015
CHL,2021,5,12779.1428571429
CHL,2021,6,13567.1428571429
CHL,2021,7,13205.8571428571
CHL,2021,8,11245.4285714286
CHL,2021,9,10090.7142857143
CHL,2021,10,10280
CHL,2021,11,10176.5714285714
CHL,2021,12,11097.2857142857
COL,2015,1,22230
COL,2015,2,16327
COL,2015,3,18309.5714285714
COL,2015,4,17396.8571428571
COL,2015,5,18393.1428571429
COL,2015,6,18053
COL,2015,7,18320.4285714286
COL,2015,8,18160.4285714286
COL,2015,9,17893.1428571429
COL,2015,10,18178.4285714286
COL,2015,11,18245.1428571429
COL,2015,12,20762.8571428571
COL,2016,1,18025.1428571429
COL,2016,2,17026.7142857143
COL,2016,3,18536.4285714286
COL,2016,4,17684.7142857143
COL,2016,5,19524.5714285714
COL,2016,6,19346.4285714286
COL,2016,7,18720.8571428571
COL,2016,8,18331.7142857143
COL,2016,9,17410.2857142857
COL,2016,10,18101
COL,2016,11,17762.5714285714
COL,2016,12,20112.5714285714
COL,2017,1,19997.8571428571
COL,2017,2,16823.2857142857
COL,2017,3,18679.2857142857
COL,2017,4,18192
COL,2017,5,18979.1428571429
COL,2017,6,18425.8571428571
