source,coverage,iso3,year,month,age,age_cat,sex,deaths
STMF,National,AUS,2021,1,0,0-14,Female,18.8331465839995
STMF,National,AUS,2021,2,0,0-14,Female,20.6557091566446
STMF,National,AUS,2021,3,0,0-14,Female,25.7183829695477
STMF,National,AUS,2021,4,0,0-14,Female,19.0356535365156
STMF,National,AUS,2021,5,0,0-14,Female,26.9334246846444
STMF,National,AUS,2021,6,0,0-14,Female,24.3008343019348
STMF,National,AUS,2021,7,0,0-14,Female,19.4406674415479
STMF,National,AUS,2021,8,0,0-14,Female,27.3384385896767
STMF,National,AUS,2021,9,0,0-14,Female,18.4281326789672
STMF,National,AUS,2021,10,0,0-14,Female,20.8582161091607
STMF,National,AUS,2021,11,0,0-14,Female,20.0481882990962
STMF,National,AUS,2021,999,0,0-14,Female,241.590794351735
STMF,National,AUS,2015,1,0,0-14,Male,17.555271237505
STMF,National,AUS,2015,2,0,0-14,Male,18.9291620300053
STMF,National,AUS,2015,3,0,0-14,Male,22.8981798750065
STMF,National,AUS,2015,4,0,0-14,Male,18.6238529650053
STMF,National,AUS,2015,5,0,0-14,Male,17.555271237505
STMF,National,AUS,2015,6,0,0-14,Male,25.0353433300071
STMF,National,AUS,2015,7,0,0-14,Male,22.2875617450063
STMF,National,AUS,2015,8,0,0-14,Male,24.882688797507
STMF,National,AUS,2015,9,0,0-14,Male,20.7610164200059
STMF,National,AUS,2015,10,0,0-14,Male,21.371634550006
STMF,National,AUS,2015,11,0,0-14,Male,27.0198522525076
STMF,National,AUS,2015,12,0,0-14,Male,23.5087980050066
STMF,National,AUS,2015,999,0,0-14,Male,260.428632445074
STMF,National,AUS,2016,1,0,0-14,Male,19.7824692352265
STMF,National,AUS,2016,2,0,0-14,Male,23.9881910411408
STMF,National,AUS,2016,3,0,0-14,Male,19.7824692352265
STMF,National,AUS,2016,4,0,0-14,Male,20.2497716581059
STMF,National,AUS,2016,5,0,0-14,Male,20.7170740809853
STMF,National,AUS,2016,6,0,0-14,Male,19.159399338054
STMF,National,AUS,2016,7,0,0-14,Male,20.8728415552784
STMF,National,AUS,2016,8,0,0-14,Male,23.2093536696752
STMF,National,AUS,2016,9,0,0-14,Male,18.8478643894678
STMF,National,AUS,2016,10,0,0-14,Male,23.2093536696752
STMF,National,AUS,2016,11,0,0-14,Male,18.8478643894678
STMF,National,AUS,2016,12,0,0-14,Male,17.1344221722435
STMF,National,AUS,2016,999,0,0-14,Male,245.801074434547
STMF,National,AUS,2017,1,0,0-14,Male,21.530588769723
STMF,National,AUS,2017,2,0,0-14,Male,20.8926453987682
STMF,National,AUS,2017,3,0,0-14,Male,19.2977869713813
STMF,National,AUS,2017,4,0,0-14,Male,18.3408719149492
STMF,National,AUS,2017,5,0,0-14,Male,26.634135737361
STMF,National,AUS,2017,6,0,0-14,Male,19.6167586568587
STMF,National,AUS,2017,7,0,0-14,Male,26.3151640518836
STMF,National,AUS,2017,8,0,0-14,Male,21.530588769723
STMF,National,AUS,2017,9,0,0-14,Male,18.3408719149492
STMF,National,AUS,2017,10,0,0-14,Male,22.8064755116325
STMF,National,AUS,2017,11,0,0-14,Male,18.0219002294718
STMF,National,AUS,2017,12,0,0-14,Male,24.5608197817581
STMF,National,AUS,2017,999,0,0-14,Male,257.88860770846
STMF,National,AUS,2018,1,0,0-14,Male,18.3509666632668
STMF,National,AUS,2018,2,0,0-14,Male,18.3509666632668
STMF,National,AUS,2018,3,0,0-14,Male,20.7239364904134
STMF,National,AUS,2018,4,0,0-14,Male,23.0969063175599
STMF,National,AUS,2018,5,0,0-14,Male,15.9779968361202
STMF,National,AUS,2018,6,0,0-14,Male,18.6673626402197
STMF,National,AUS,2018,7,0,0-14,Male,23.7296982714657
STMF,National,AUS,2018,8,0,0-14,Male,17.8763726978375
STMF,National,AUS,2018,9,0,0-14,Male,21.3567284443191
STMF,National,AUS,2018,10,0,0-14,Male,24.9952821792772
STMF,National,AUS,2018,11,0,0-14,Male,18.3509666632668
STMF,National,AUS,2018,12,0,0-14,Male,23.0969063175599
STMF,National,AUS,2018,999,0,0-14,Male,244.574090184573
STMF,National,AUS,2019,1,0,0-14,Male,19.8056629291387
STMF,National,AUS,2019,2,0,0-14,Male,18.3385767862396
STMF,National,AUS,2019,3,0,0-14,Male,17.8984509433698
STMF,National,AUS,2019,4,0,0-14,Male,20.0990801577186
STMF,National,AUS,2019,5,0,0-14,Male,18.4852854005295
STMF,National,AUS,2019,6,0,0-14,Male,22.7398352149371
STMF,National,AUS,2019,7,0,0-14,Male,24.647047200706
STMF,National,AUS,2019,8,0,0-14,Male,18.7787026291093
STMF,National,AUS,2019,9,0,0-14,Male,23.3266696720967
STMF,National,AUS,2019,10,0,0-14,Male,16.7247820290505
STMF,National,AUS,2019,11,0,0-14,Male,15.5511131147312
STMF,National,AUS,2019,12,0,0-14,Male,20.5392060005883
STMF,National,AUS,2019,999,0,0-14,Male,236.934412078215
STMF,National,AUS,2020,1,0,0-14,Male,14.8528820906339
STMF,National,AUS,2020,2,0,0-14,Male,13.1224492257057
STMF,National,AUS,2020,3,0,0-14,Male,21.1978025953707
STMF,National,AUS,2020,4,0,0-14,Male,17.8811396042583
STMF,National,AUS,2020,5,0,0-14,Male,16.006504000586
STMF,National,AUS,2020,6,0,0-14,Male,21.6304108116028
STMF,National,AUS,2020,7,0,0-14,Male,18.0253423430023
STMF,National,AUS,2020,8,0,0-14,Male,19.1789642529545
STMF,National,AUS,2020,9,0,0-14,Male,13.9876656581698
STMF,National,AUS,2020,10,0,0-14,Male,14.5644766131459
STMF,National,AUS,2020,11,0,0-14,Male,20.7651943791386
STMF,National,AUS,2020,12,0,0-14,Male,24.6586683252271
STMF,National,AUS,2020,999,0,0-14,Male,215.871499899796
STMF,National,AUS,2021,1,0,0-14,Male,15.6476223316422
STMF,National,AUS,2021,2,0,0-14,Male,17.1982876077508
STMF,National,AUS,2021,3,0,0-14,Male,19.8767094483022
STMF,National,AUS,2021,4,0,0-14,Male,18.1850746016382
STMF,National,AUS,2021,5,0,0-14,Male,22.6961008594089
STMF,National,AUS,2021,6,0,0-14,Male,16.2115006138635
STMF,National,AUS,2021,7,0,0-14,Male,18.8899224544148
STMF,National,AUS,2021,8,0,0-14,Male,23.1190095710749
STMF,National,AUS,2021,9,0,0-14,Male,17.3392571783062
STMF,National,AUS,2021,10,0,0-14,Male,17.0573180371955
STMF,National,AUS,2021,11,0,0-14,Male,15.2247136199761
STMF,National,AUS,2021,999,0,0-14,Male,201.445516323573
STMF,National,AUT,2011,1,0,0-14,Both,34
STMF,National,AUT,2011,2,0,0-14,Both,45
STMF,National,AUT,2011,3,0,0-14,Both,34
STMF,National,AUT,2011,4,0,0-14,Both,30
STMF,National,AUT,2011,5,0,0-14,Both,45
STMF,National,AUT,2011,6,0,0-14,Both,22
STMF,National,AUT,2011,7,0,0-14,Both,31
STMF,National,AUT,2011,8,0,0-14,Both,40
STMF,National,AUT,2011,9,0,0-14,Both,29
STMF,National,AUT,2011,10,0,0-14,Both,32
STMF,National,AUT,2011,11,0,0-14,Both,27
STMF,National,AUT,2011,12,0,0-14,Both,42
STMF,National,AUT,2011,999,0,0-14,Both,411
STMF,National,AUT,2012,1,0,0-14,Both,37
STMF,National,AUT,2012,2,0,0-14,Both,22
STMF,National,AUT,2012,3,0,0-14,Both,27
STMF,National,AUT,2012,4,0,0-14,Both,34
STMF,National,AUT,2012,5,0,0-14,Both,32
STMF,National,AUT,2012,6,0,0-14,Both,34
STMF,National,AUT,2012,7,0,0-14,Both,43
STMF,National,AUT,2012,8,0,0-14,Both,28
STMF,National,AUT,2012,9,0,0-14,Both,16
STMF,National,AUT,2012,10,0,0-14,Both,38
STMF,National,AUT,2012,11,0,0-14,Both,35
STMF,National,AUT,2012,12,0,0-14,Both,34
STMF,National,AUT,2012,999,0,0-14,Both,380
STMF,National,AUT,2013,1,0,0-14,Both,27
STMF,National,AUT,2013,2,0,0-14,Both,27
STMF,National,AUT,2013,3,0,0-14,Both,41
STMF,National,AUT,2013,4,0,0-14,Both,31
STMF,National,AUT,2013,5,0,0-14,Both,26
STMF,National,AUT,2013,6,0,0-14,Both,23
STMF,National,AUT,2013,7,0,0-14,Both,44
STMF,National,AUT,2013,8,0,0-14,Both,18
