iso3,year,month,adj.ac
BLZ,2020,8,156
BLZ,2020,9,149
BLZ,2020,10,189
BLZ,2020,11,253
BLZ,2020,12,275
BOL,2020,1,7839.82128758222
BOL,2020,2,7253.12276849879
BOL,2020,3,7670.29367017001
BOL,2020,4,5024.3332101677
BOL,2020,5,7234.84037838571
BOL,2020,6,13666.9176272607
BOL,2020,7,26386.4750395708
BOL,2020,8,17679.0712393496
BOL,2020,9,8657.5427362764
BOL,2020,10,8197.15891251971
BOL,2020,11,7647.02517366245
BOL,2020,12,7904.64067071041
BOL,2021,1,15167.7356519982
BOL,2021,2,11190.4847846706
BOL,2021,3,9914.04154768453
BOL,2021,4,8847.01477926651
BOL,2021,5,13856.3896702508
BOL,2021,6,16523.9565912958
BOL,2021,7,13163.3208814185
BOL,2021,8,10600.4621946575
BOL,2021,9,8966.68133273395
BOL,2021,10,8454.77440956768
BOL,2021,11,9112.9404536386
BOL,2021,12,17303.451224299
BRA,2020,1,115294.259349034
BRA,2020,2,108196.334180238
BRA,2020,3,122197.985447892
BRA,2020,4,128032.091538502
BRA,2020,5,159536.061077986
BRA,2020,6,145278.189047901
BRA,2020,7,150042.675130264
BRA,2020,8,145784.530078421
BRA,2020,9,131132.159414116
BRA,2020,10,132678.634730222
BRA,2020,11,126408.343294043
BRA,2020,12,143554.79939583
BRA,2021,1,153961.22599698
BRA,2021,2,139093.304532533
BRA,2021,3,212564.608159858
BRA,2021,4,199578.689200417
BRA,2021,5,185569.920689363
BRA,2021,6,174552.427904794
BRA,2021,7,165922.668606317
BRA,2021,8,152329.445434968
BRA,2021,9,132803.288164643
BRA,2021,10,123727.684404553
BRA,2021,11,124970.456777253
BRA,2021,12,128550.226858086
BRB,2020,1,301.18527046357
BRB,2020,2,264.570590524862
BRB,2020,3,288.192964678867
BRB,2020,4,216.144723509151
BRB,2020,5,289.374083386568
BRB,2020,6,281.106252432666
BRB,2020,7,270.476184063363
BRB,2020,8,275.200658894164
BRB,2020,9,220.869198339952
BRB,2020,10,265.751709232562
BRB,2020,11,246.853809909358
BRB,2020,12,284.649608555767
BRB,2021,1,204.333536432148
BRB,2021,2,262.208353109461
BRB,2021,3,380.320223879489
BRB,2021,4,223.231435755352
BRB,2021,5,261.027234401761
BRB,2021,6,290.555202094268
BRB,2021,7,168.89997520114
BRB,2021,8,292.917439509669
BRB,2021,9,278.744015017265
BRN,2020,1,232.751436025612
BRN,2020,2,192.051731365396
BRN,2020,3,192.051731365396
BRN,2020,4,175.517476347183
BRN,2020,5,172.973744805919
BRN,2020,6,231.47957025498
BRN,2020,7,178.061207888446
BRN,2020,8,188.2361340535
BRN,2020,9,155.167624017075
BRN,2020,10,169.158147494024
BRN,2020,11,162.798818640865
BRN,2020,12,178.061207888446
CAN,2020,1,27018.5714285714
CAN,2020,2,23896.4285714286
CAN,2020,3,26059.2857142857
CAN,2020,4,28754.2857142857
CAN,2020,5,26931.4285714286
CAN,2020,6,22723.5714285714
CAN,2020,7,23375.7142857143
CAN,2020,8,23642.1428571429
CAN,2020,9,23736.4285714286
CAN,2020,10,25667.1428571429
CAN,2020,11,26628.5714285714
CAN,2020,12,29080
CAN,2021,1,28814.2857142857
CAN,2021,2,23407.1428571429
CAN,2021,3,24038.5714285714
CAN,2021,4,23182.8571428571
CAN,2021,5,23200
CAN,2021,6,21230.7142857143
CAN,2021,7,24329.2857142857
CAN,2021,8,24376.4285714286
CAN,2021,9,24478.5714285714
CHE,2020,1,6280
CHE,2020,2,5802
CHE,2020,3,6776
CHE,2020,4,6808
CHE,2020,5,5233
CHE,2020,6,5072
CHE,2020,7,5334
CHE,2020,8,5402
CHE,2020,9,5451
CHE,2020,10,6389
CHE,2020,11,9272
