"state","year","completeness_deaths","deaths_registerd","deaths_scaled"
"Daman & Diu",2019,0.61,1162,1904.9180327868853
"Delhi",2015,1,124516,124516
"Delhi",2016,1,141632,141632
"Delhi",2017,1,136117,136117
"Delhi",2018,1,145533,145533
"Delhi",2019,1,145284,145284
"Delhi",2020,1,142789,142789
"Goa",2015,1,12738,12738
"Goa",2016,0.987,13130,13302.938196555218
"Goa",2017,1,13020,13020
"Goa",2018,1,13072,13072
"Goa",2019,1,13851,13851
"Goa",2020,1,14601,14601
"Gujarat",2015,1,412322,412322
"Gujarat",2016,1,417835,417835
"Gujarat",2017,0.982,388316,395433.80855397147
"Gujarat",2018,1,433256,433256
"Gujarat",2019,1,462284,462284
"Gujarat",2020,1,523892,523892
"Haryana",2015,1,168910,168910
"Haryana",2016,1,181138,181138
"Haryana",2017,1,174937,174937
"Haryana",2018,1,185842,185842
"Haryana",2019,1,188910,188910
"Haryana",2020,1,212238,212238
"Himachal Pradesh",2015,0.89,41462,46586.51685393258
"Himachal Pradesh",2016,0.74,35819,48404.05405405405
"Himachal Pradesh",2017,0.8270000000000001,39114,47296.2515114873
"Himachal Pradesh",2018,0.8390000000000001,41833,49860.54827175208
"Himachal Pradesh",2019,0.8640000000000001,43633,50501.1574074074
"Himachal Pradesh",2020,0.8640000000000001,44449,51445.60185185185
"India",2015,0.7659999999999999,6267685,8182356.396866842
"India",2016,0.7809999999999999,6349259,8129653.008962869
"India",2017,0.7959999999999999,6463779,8120325.376884423
"India",2018,0.86,6950607,8082101.162790698
"India",2019,0.92,7641076,8305517.391304348
"India",2020,0.92,8115882,8821610.869565217
"Jammu & Kashmir",2015,0.604,36535,60488.41059602649
"Jammu & Kashmir",2016,0.585,36431,62275.21367521368
"Jammu & Kashmir",2017,0.615,37184,60461.78861788618
"Jammu & Kashmir",2018,0.633,39410,62259.08372827804
"Jammu & Kashmir",2019,0.667,44227,66307.34632683657
"Jammu & Kashmir",2020,0.667,53070,79565.21739130434
"Jharkhand",2015,0.701,135542,193355.2068473609
"Jharkhand",2016,0.703,130655,185853.4850640114
"Jharkhand",2017,0.619,116393,188033.92568659128
"Jharkhand",2018,0.5489999999999999,102729,187120.218579235
"Jharkhand",2019,0.588,119374,203017.0068027211
"Jharkhand",2020,0.588,119037,202443.8775510204
"Karnataka",2015,0.9620000000000001,393731,409283.7837837837
"Karnataka",2016,1,420774,420774
"Karnataka",2017,1,481747,481747
"Karnataka",2018,1,483511,483511
"Karnataka",2019,1,508584,508584
"Karnataka",2020,1,551808,551808
"Kerala",2015,1,252576,252576
"Kerala",2016,0.943,256130,271611.8769883351
"Kerala",2017,1,263342,263342
"Kerala",2018,1,258530,258530
"Kerala",2019,1,270567,270567
"Kerala",2020,1,250983,250983
"Ladakh",2020,NA,742,NA
"Lakshadweep",2015,0.726,360,495.86776859504135
"Lakshadweep",2016,0.652,321,492.33128834355824
"Lakshadweep",2017,0.659,351,532.6251896813353
"Lakshadweep",2018,0.6759999999999999,314,464.49704142011836
"Lakshadweep",2019,0.882,336,380.95238095238096
"Lakshadweep",2020,0.882,342,387.7551020408163
"Madhya Pradesh",2015,0.5379999999999999,311411,578830.8550185874
"Madhya Pradesh",2016,0.609,338587,555972.0853858785
"Madhya Pradesh",2017,0.687,370538,539356.6229985444
"Madhya Pradesh",2018,0.7879999999999999,424257,538397.2081218275
"Madhya Pradesh",2019,0.8909999999999999,493328,553679.0123456791
"Madhya Pradesh",2020,0.8909999999999999,524454,588612.7946127946
"Maharashtra",2015,0.975,673824,691101.5384615385
"Maharashtra",2016,0.937,666448,711257.203842049
"Maharashtra",2017,0.9309999999999999,647161,695124.597207304
"Maharashtra",2018,0.9840000000000001,667900,678760.1626016259
"Maharashtra",2019,1,693800,693800
"Maharashtra",2020,1,808783,808783
"Manipur",2015,0.34,3504,10305.882352941177
"Manipur",2016,0.299,NA,NA
